ID Cliente,Total Ventas USD,Total Cajas,Productos Diferentes,Categorías Diferentes,Activo
6545,1856.07,413,48,7,1
6546,1904.715,492,52,7,1
6547,59.22,12,5,3,0
6548,792.84,234,49,7,1
6549,791.13,235,45,7,1
6550,2348.97,703,65,7,1
6551,2746.785,586,48,6,1
6552,351.09,95,11,5,1
6553,3605.43,1041,86,8,1
6554,2845.035,808,70,8,1
6555,2117.22,509,34,6,1
6556,1495.23,370,48,8,1
6557,3229.23,665,53,7,1
6558,1452.51,405,55,8,1
6559,652.14,189,36,5,1
6560,4611.12,1231,70,7,1
6561,2740.635,700,63,7,1
6562,169.125,54,23,4,0
6563,2190.495,432,32,7,1
6564,300.81,90,30,6,0
6565,2109.27,596,58,8,1
6566,783.48,250,25,6,1
6567,307.56,84,28,7,1
6568,15193.41,3103,81,8,1
6569,3242.76,732,64,8,1
6570,267.9,71,28,5,0
6571,29.55,10,7,3,0
6572,969.36,256,53,7,0
6573,4787.8949999999995,1180,80,8,1
6574,4375.785,1038,61,7,1
6575,2569.32,762,63,6,1
6576,83.235,21,8,3,0
6577,2230.275,655,79,7,1
6578,1164.075,310,46,6,1
6579,1738.41,503,47,7,1
6580,3667.92,816,67,7,1
6581,302.295,81,16,4,1
6582,904.74,275,53,7,1
6583,95.445,20,5,3,0
6584,1313.985,431,59,7,1
6585,1866.24,578,66,7,1
6586,1760.07,535,69,7,1
6587,144.39,45,20,5,0
6588,3437.295,897,66,7,1
6589,11374.125,2727,69,7,1
6590,4026.15,957,63,7,1
6591,1048.815,344,63,7,1
6592,2057.76,539,71,7,1
6593,4257.615,1236,71,7,1
6594,1276.98,294,31,7,1
6595,4204.575,1028,62,7,1
6596,473.28,133,43,6,0
6597,175.14000000000001,53,18,5,0
6598,542.085,149,23,4,1
6599,137.655,37,17,5,1
6600,26.31,9,2,2,0
6601,471.945,156,37,5,1
6602,141.675,44,18,5,0
6603,11.13,3,4,3,0
6604,3864.84,1078,74,7,1
6605,88.005,30,14,3,0
6606,1478.805,358,60,6,1
6607,1587.51,474,45,7,1
6608,6249.63,1527,76,8,1
6609,2578.53,758,78,7,1
6610,76.08,15,6,1,0
6611,2046.84,530,55,7,1
6612,12310.695,2789,82,8,1
6613,300.34499999999997,88,33,6,0
6614,1496.25,484,66,8,1
6615,722.415,218,37,6,1
6616,380.7,108,27,5,1
6617,2929.755,746,60,7,1
6618,172.5,50,11,3,0
6619,403.5,129,29,5,1
6620,7980.81,1759,72,7,1
6621,375.48,135,34,5,0
6622,475.155,149,34,4,1
6623,2442.9,717,66,7,1
6624,684.855,154,29,5,1
6625,793.56,193,39,6,1
6626,1364.07,499,43,6,1
6627,356.67,111,38,7,0
6628,84.855,23,3,2,1
6629,166.17,45,20,5,0
6630,205.185,54,21,5,0
6631,8080.23,1916,74,7,1
6632,1568.73,525,72,8,1
6633,2453.22,779,78,7,1
6634,2088.45,437,40,8,1
6635,2380.875,596,40,7,1
6636,1835.895,473,68,8,1
6637,1519.305,448,54,7,1
6638,3801.69,1064,94,8,1
6639,231.15,74,25,5,0
6640,907.515,268,29,5,1
6641,2603.52,689,73,7,1
6642,339.0,106,27,6,1
6643,1937.43,431,33,7,1
6644,945.135,277,51,7,1
6645,787.65,216,40,6,1
6646,8620.635,2149,85,8,1
6647,3532.665,795,76,7,1
6648,3177.945,958,73,7,1
6649,3335.235,890,65,7,1
6650,1475.265,413,56,7,1
6651,21.525,4,2,1,0
6652,559.47,159,46,6,0
6653,1100.475,365,55,6,1
6654,2207.37,452,52,7,1
6655,974.5500000000001,302,34,7,1
6656,1322.4750000000001,363,51,6,1
6657,5645.145,1395,90,7,1
6658,225.93,77,31,6,1
6659,1438.875,393,51,7,1
