ID Cliente,Total Ventas USD,Total Cajas,Productos Diferentes,Categorías Diferentes,Meses Diferentes,Cluster
5123,383.22,109,34,6,3,2
5124,538.95,152,47,7,3,2
5125,179.655,58,23,7,3,0
5126,23.115,7,5,3,3,0
5127,259.185,83,28,6,3,0
5128,369.46500000000003,73,19,5,3,0
5129,167.235,42,23,4,3,0
5130,669.585,175,41,6,3,2
5131,373.755,84,24,6,3,0
5132,1363.5,316,55,7,3,2
5133,420.375,78,7,2,3,0
5134,4.305,1,1,1,1,3
5135,843.99,190,34,5,3,0
5136,656.88,178,30,7,3,2
5137,56.655,21,12,4,3,0
5138,102.18,29,11,4,3,0
5139,109.545,33,14,5,3,0
5140,97.965,32,14,4,3,0
5141,103.875,31,17,5,3,0
5142,264.22499999999997,60,13,3,3,0
5143,1212.135,246,36,7,3,2
5144,749.79,179,39,6,3,2
5145,160.665,46,21,4,3,0
5146,260.355,78,28,5,3,0
5147,275.94,82,22,6,3,0
5148,269.97,75,22,5,3,0
5149,161.19,42,13,3,3,0
5150,264.03,88,30,6,3,0
5151,134.01,37,20,5,3,0
5152,151.785,40,14,3,3,0
5153,171.36,55,23,6,3,0
5154,179.28,52,22,4,3,0
5155,150.705,46,23,6,3,0
5156,294.075,85,23,6,3,0
5157,73.515,23,11,4,2,3
5158,1231.44,253,20,5,3,0
5159,233.85,71,17,5,3,0
5160,884.37,216,59,7,3,2
5161,243.81,72,21,7,3,0
5162,246.54,63,22,5,3,0
5163,24.375,10,10,4,2,3
5164,635.505,150,36,7,3,2
5165,681.3,186,50,7,3,2
5166,606.585,182,45,5,3,2
5167,67.29,22,17,4,3,0
5168,217.155,68,11,2,3,0
5169,1155.57,291,46,6,3,2
5170,644.325,139,37,7,3,2
5171,891.27,249,64,6,3,2
5172,110.07,21,8,3,2,3
5173,1330.155,355,65,7,3,2
5174,68.505,24,10,4,3,0
5175,1009.095,279,57,7,3,2
5176,713.46,200,44,7,3,2
5177,423.18,124,33,4,3,0
5178,1133.3700000000001,263,47,7,3,2
5179,350.88,102,41,6,3,2
5180,584.04,164,40,6,3,2
5181,195.375,58,22,4,3,0
5182,188.085,41,11,5,3,0
5183,321.315,92,22,4,3,0
5184,370.305,85,17,3,3,0
5185,97.845,32,15,7,3,0
5186,677.91,171,27,7,3,2
5187,382.665,100,27,4,3,0
5188,2007.435,402,29,5,3,2
5189,1619.46,407,58,8,3,2
5190,200.025,39,14,4,3,0
5191,635.775,149,29,5,3,0
5192,397.995,88,19,4,3,0
5193,694.875,197,49,6,3,2
5194,255.66,78,31,6,3,0
5195,302.25,83,30,5,3,0
5196,690.405,196,49,6,3,2
5197,1524.33,364,43,7,3,2
5198,1232.85,225,2,1,3,0
5199,631.335,155,37,5,3,0
5200,776.4300000000001,208,46,6,3,2
5201,1572.615,391,65,7,3,2
5202,484.35,129,29,5,3,0
5203,211.665,59,23,6,3,0
5204,382.86,108,32,6,3,2
5205,747.03,189,28,5,3,0
5206,789.375,181,36,6,3,2
5207,1724.46,412,54,7,3,2
5208,592.1850000000001,157,41,6,3,2
5209,824.9549999999999,156,22,6,3,0
5210,457.665,91,14,4,3,0
5211,115.5,36,13,4,3,0
5212,1776.525,447,71,7,3,1
5213,3063.915,660,59,7,3,1
5214,600.045,183,34,5,3,0
5215,179.145,49,12,3,3,0
5216,160.32,34,8,2,3,0
5217,127.875,39,23,6,3,0
5218,865.41,191,43,5,3,2
5219,529.83,141,35,5,3,0
5220,1079.115,265,35,8,3,2
5221,1193.895,310,47,6,3,2
5222,1506.465,393,73,7,3,2
5223,712.455,141,32,6,3,2
5224,495.405,143,37,6,3,2
5225,599.505,127,24,5,3,0
5226,974.3100000000001,253,42,6,3,2
5227,610.155,122,16,3,3,0
5228,857.73,239,42,5,3,2
5229,876.585,191,31,5,3,0
5230,194.235,59,36,7,2,2
5231,357.78000000000003,102,16,3,3,0
5232,503.01,121,32,5,3,0
5233,140.985,14,6,2,3,0
5234,24.975,9,7,4,1,3
5235,855.135,204,44,8,3,2
5236,2247.57,471,54,7,3,1
5237,224.25,53,12,4,3,0
5238,600.87,159,36,6,3,2
5239,1229.415,268,35,6,3,2
5240,295.005,80,30,6,3,0
5241,539.37,153,44,6,3,2
5242,2686.53,589,79,8,3,1
5243,101.13,32,19,6,3,0
5244,225.73499999999999,69,31,6,3,0
5245,365.265,89,12,4,3,0
5246,389.745,93,20,5,3,0
5247,628.74,127,20,4,3,0
5248,491.745,104,18,4,3,0
5249,418.965,114,32,6,3,2
5250,1538.9850000000001,366,53,7,3,2
5251,127.62,43,24,5,3,0
5252,145.155,45,15,3,3,0
5253,551.265,135,38,6,3,2
5254,227.64,65,31,5,3,0
5255,126.27,35,21,3,3,0
5256,2322.27,435,48,6,3,1
5257,367.21500000000003,74,24,6,3,0
5258,836.025,156,25,5,3,0
5259,5129.265,949,59,7,3,1
5260,2012.685,453,59,8,3,1
5261,197.925,56,25,5,2,3
5262,148.53,43,26,6,3,0
5263,3194.2200000000003,632,29,6,3,1
5264,976.59,217,17,6,3,0
5265,103.32000000000001,34,11,3,3,0
5266,175.11,41,14,4,3,0
5267,995.91,237,48,7,3,2
5268,2071.95,450,53,7,3,1
5269,396.36,108,38,5,3,0
5270,1009.725,197,31,4,3,0
5271,752.295,171,30,5,3,0
5272,2234.1150000000002,598,70,7,3,1
5273,291.915,82,24,5,3,0
5274,462.36,114,23,5,3,0
5275,160.845,41,13,4,3,0
5276,220.425,71,23,4,3,0
5277,1405.68,326,45,7,3,2
5278,2634.27,554,56,7,3,1
5279,911.88,231,45,7,3,2
5280,823.83,220,58,6,3,2
5281,381.375,85,19,4,3,0
5282,2239.38,525,64,7,3,1
5283,172.215,33,6,3,3,0
5284,549.87,158,42,5,3,2
5285,888.195,242,57,7,3,2
5286,657.6,143,34,5,3,0
5287,240.9,75,25,4,3,0
5288,1145.22,272,35,5,3,2
5289,637.425,145,40,7,1,3
5290,1094.04,301,49,6,3,2
5291,499.71,136,27,5,3,0
5292,443.97,97,20,5,3,0
5293,480.765,167,34,5,3,0
5294,1549.17,366,57,7,3,2
5295,2368.455,547,48,6,3,1
5296,1559.865,388,50,8,3,2
5297,825.09,198,38,8,3,2
5298,1677.93,433,65,7,3,1
5299,352.15500000000003,108,28,5,3,0
5300,802.14,218,43,7,3,2
5301,409.62,98,23,5,3,0
5302,722.97,186,48,6,3,2
5303,828.9,193,32,5,3,0
5304,294.855,64,19,6,3,0
5305,421.725,112,34,5,3,0
5306,707.355,170,43,6,3,2
5307,1048.935,248,43,5,3,2
5308,723.51,181,24,6,3,0
5309,1031.16,261,44,8,3,2
5310,152.835,48,13,5,3,0
5311,2.52,1,1,1,1,3
5312,211.47,52,18,4,3,0
5313,119.19,38,21,5,3,0
5314,14.355,2,1,1,1,3
5315,840.465,223,57,6,3,2
5316,82.93499999999999,25,8,4,3,0
5317,1019.76,265,45,6,3,2
5318,12.629999999999999,5,4,2,1,3
5319,176.295,38,13,4,3,0
5320,149.865,35,16,4,3,0
5321,400.74,108,31,5,3,0
5322,927.6,240,36,6,3,2
5323,130.185,48,25,5,3,0
5324,548.76,120,18,4,3,0
5325,300.69,81,32,5,3,0
5326,241.845,66,29,5,3,0
5327,1843.29,418,41,6,3,2
5328,1077.675,325,55,7,3,2
5329,1683.96,393,59,7,3,2
5330,17.805,5,3,1,1,3
5331,464.19,116,26,5,3,0
5332,77.37,28,15,4,3,0
5333,89.46,31,19,6,3,0
5334,202.38,60,29,6,3,0
5335,681.54,159,36,7,3,2
5336,603.99,125,18,5,3,0
5337,27.375,12,12,3,1,3
5338,1001.1,246,32,6,3,2
5339,429.03000000000003,113,42,7,3,2
5340,530.3100000000001,160,39,6,3,2
5341,67.66499999999999,21,10,2,3,0
5342,3026.085,633,60,7,3,1
5343,674.175,175,40,5,3,2
5344,1082.745,222,42,7,3,2
5345,1365.6,346,58,7,3,2
5346,320.34,83,26,5,3,0
5347,764.7,203,47,7,3,2
5348,360.465,105,33,5,3,0
5349,110.58,34,24,6,1,3
5350,317.16,102,34,7,3,2
5351,202.125,62,25,6,3,0
5352,385.575,101,33,5,3,0
5353,256.005,70,24,4,3,0
5354,286.62,87,26,4,3,0
5355,118.035,37,17,5,3,0
5356,439.575,128,27,4,3,0
5357,2561.07,534,51,7,3,1
5358,329.85,65,10,2,3,0
5359,261.54,84,28,5,3,0
5360,274.305,67,22,5,3,0
5361,886.59,237,43,7,3,2
5362,563.4,138,34,7,3,2
5363,238.92,66,29,6,3,0
5364,484.545,143,38,5,3,0
5365,198.24,43,17,4,1,3
5366,775.26,218,49,6,3,2
5367,497.865,147,50,7,3,2
5368,9830.235,1849,25,6,3,1
5369,1130.49,287,42,7,3,2
5370,343.545,104,27,4,3,0
5371,165.465,49,15,3,3,0
5372,332.415,94,33,5,3,0
5373,438.96,118,25,4,3,0
